time,open,high,low,close
1514505600,6442.17,6466.92,6382.82,6385.17
1514851200,6405.17,6522.42,6396.92,6514.32
1514937600,6513.17,6590.00,6510.92,6582.22
1515024000,6583.42,6616.42,6579.42,6605.52
1515110400,6606.17,6668.92,6599.17,6665.67
1515369600,6665.72,6689.42,6652.67,6688.22
1515456000,6686.92,6706.42,6666.42,6680.67
1515542400,6678.42,6685.92,6627.42,6675.67
1515628800,6674.17,6727.92,6663.67,6722.92
1515715200,6722.42,6776.67,6702.67,6773.17
1515974400,6779.17,6797.67,6772.42,6779.92
1516060800,6779.92,6844.92,6728.67,6760.42
1516147200,6760.42,6833.67,6744.17,6819.67
1516233600,6818.17,6837.42,6795.17,6815.17
1516320000,6815.92,6855.42,6800.92,6850.92
1516579200,6825.05,6940.67,6823.42,6932.92
1516665600,6930.17,6980.42,6919.17,6959.67
1516752000,6954.92,7003.17,6887.67,6933.92
1516838400,6931.42,6986.42,6901.42,6936.42
1516924800,6937.42,7033.67,6933.67,7030.42
1517184000,7030.42,7046.42,6979.42,6994.17
1517270400,6992.05,7005.67,6902.17,6938.42
1517356800,6938.67,6990.17,6920.92,6930.17
1517443200,6973.42,6987.05,6883.92,6936.67
1517529600,6953.42,6962.42,6751.67,6752.17
1517788800,6752.17,6812.92,6387.17,6458.67
1517875200,6463.17,6676.17,6259.42,6636.92
1517961600,6643.67,6716.90,6531.60,6549.22
1518048000,6541.60,6617.60,6300.90,6332.92
1518134400,6327.10,6454.60,6163.80,6424.72
1518393600,6435.10,6566.70,6413.60,6525.92
1518480000,6527.52,6568.90,6470.20,6559.92
1518566400,6558.80,6691.20,6454.30,6678.92
1518652800,6678.80,6826.10,6669.30,6818.92
1518739200,6817.10,6858.90,6761.40,6780.22
1518998400,6788.80,6818.60,6757.70,6784.62
1519084800,6781.60,6842.90,6722.70,6790.72
1519171200,6788.80,6884.40,6740.80,6752.42
1519257600,6753.10,6830.40,6694.30,6794.42
1519344000,6792.80,6913.10,6781.90,6902.22
1519603200,6922.80,7006.60,6889.40,7002.42
1519689600,7002.30,7007.90,6903.60,6913.82
1519776000,6913.30,6969.60,6857.20,6879.22
1519862400,6879.60,6897.70,6688.30,6765.22
1519948800,6765.10,6822.40,6645.60,6809.92
1520208000,6792.80,6903.70,6741.90,6879.22
1520294400,6879.80,6938.60,6871.40,6909.22
1520380800,6849.30,6936.10,6797.90,6923.62
1520467200,6924.30,6976.30,6913.40,6971.02
1520553600,6970.30,7102.90,6962.40,7097.72
1520812800,7098.67,7158.20,7098.67,7134.72
1520899200,7136.30,7187.70,7024.10,7043.02
1520985600,7055.92,7120.80,7036.30,7058.32
1521072000,7060.80,7099.20,7026.80,7076.22
1521158400,7075.10,7083.70,7032.40,7044.42
1521417600,7041.42,7041.42,6820.40,6913.72
1521504000,6908.92,6927.20,6862.40,6917.52
1521590400,6912.17,6949.90,6841.90,6882.17
1521676800,6882.60,6914.20,6685.42,6694.42
1521763200,6691.92,6720.20,6518.67,6547.42
1522022400,6545.80,6777.97,6524.40,6772.67
1522108800,6773.92,6848.25,6489.17,6550.42
1522195200,6549.42,6581.25,6420.17,6481.67
1522281600,6488.17,6652.42,6443.42,6562.67
1522627200,6557.17,6586.92,6326.17,6403.17
1522713600,6404.92,6495.70,6350.67,6465.30
1522800000,6465.17,6590.67,6305.92,6580.67
1522886400,6582.67,6653.42,6558.67,6605.17
1522972800,6604.92,6610.17,6407.92,6455.42
1523232000,6462.30,6617.42,6460.17,6488.67
1523318400,6488.17,6650.67,6470.92,6618.67
1523404800,6625.67,6662.42,6550.17,6593.42
1523491200,6595.17,6693.17,6589.17,6672.42
1523577600,6667.17,6712.17,6605.92,6641.42
1523836800,6690.30,6718.67,6638.62,6700.42
1523923200,6701.92,6843.67,6697.67,6823.67
1524009600,6816.17,6865.92,6796.17,6842.42
1524096000,6854.92,6865.42,6754.42,6776.42
1524182400,6776.92,6789.42,6645.72,6674.92
1524441600,6707.42,6727.17,6616.17,6657.92
1524528000,6658.17,6716.94,6466.69,6524.69
1524614400,6523.44,6575.44,6428.69,6570.44
1524700800,6586.94,6747.69,6558.69,6741.19
1524787200,6744.44,6771.19,6622.19,6669.94
1525046400,6667.57,6717.19,6594.94,6600.44
1525132800,6607.54,6738.94,6578.19,6712.94
1525219200,6712.19,6728.44,6624.44,6624.44
1525305600,6629.69,6669.19,6537.19,6665.19
1525392000,6665.19,6787.69,6609.94,6777.44
1525651200,6775.69,6850.44,6771.44,6816.69
1525737600,6817.19,6836.69,6770.44,6820.94
1525824000,6820.19,6899.94,6807.69,6895.44
1525910400,6895.19,6970.44,6887.94,6951.44
1525996800,6948.82,6978.69,6927.94,6957.19
1526256000,6967.69,7012.94,6955.19,6967.44
1526342400,6965.94,6975.69,6853.69,6886.94
1526428800,6894.69,6952.44,6874.94,6933.69
1526515200,6934.44,6960.94,6874.44,6902.69
1526601600,6907.82,6934.94,6861.44,6870.69
